bond_dim,contract_time_s,contraction_value,error,instance_id,largest_intermediate,mode,n_edges,n_vertices,optimized_flops,path_time_s,status
2,0.0003827079199254513,1.6547881426661582e-06,,fallback_0001,8.0,path_active,14,15,212.0,0.00030795903876423836,contracted
2,0.00011649983935058117,0.0017244597262792234,,fallback_0003,4.0,clustered,6,7,68.0,0.00010058307088911533,contracted
2,0.0003692090976983309,7.126155979688268e-06,,fallback_0004,32.0,grid_stabilizer_compressed,24,16,1744.0,0.0003315410576760769,contracted
2,0.0002981671132147312,-0.0006659984941044547,,fallback_0013,4096.0,dense_like_active,21,7,176256.0,0.000250041950494051,contracted
2,0.00023445882834494114,5.842952078235499e-05,,fallback_0014,8.0,local_failure,14,15,212.0,0.00018608290702104568,contracted
2,0.00010154093615710735,0.009070060544396607,,fallback_0019,4.0,clustered,6,7,68.0,8.55419784784317e-05,contracted
2,9.474996477365494e-05,0.04110612730810273,,fallback_0023,4.0,mixed,6,7,68.0,7.537496276199818e-05,contracted
2,0.0002162500750273466,4.288536916243658e-06,,fallback_0027,8.0,clustered,14,15,212.0,0.00017633382230997086,contracted
2,0.00021295901387929916,-7.09760112621792e-05,,fallback_0035,8.0,clustered,14,15,212.0,0.00016583292745053768,contracted
2,0.00011991686187684536,-0.11348165626018777,,fallback_0042,4.0,chain_active,7,8,68.0,9.666616097092628e-05,contracted
2,0.00013175001367926598,-0.03307162901552934,,fallback_0046,4.0,local_failure,6,7,68.0,7.345806807279587e-05,contracted
2,0.0001032077707350254,0.0035236743850634213,,fallback_0048,4.0,leaf_local,6,7,68.0,8.216709829866886e-05,contracted
2,0.00022195791825652122,-2.3890628032870812e-05,,fallback_0050,4.0,chain_active,15,16,196.0,0.00017591612413525581,contracted
2,9.62910708039999e-05,0.058836538931628664,,fallback_0051,4.0,clustered,6,7,68.0,7.38329254090786e-05,contracted
2,0.0003609168343245983,-9.309165205803254e-05,,fallback_0052,32.0,grid_stabilizer_compressed,24,16,1744.0,0.0003136249724775553,contracted
2,0.0001917090266942978,0.006505341277773834,,fallback_0053,256.0,dense_like_active,15,6,11328.0,0.0001574160996824503,contracted
2,0.0003296660725027323,-4.3574094535712386e-07,,fallback_0054,8.0,local_failure,14,15,212.0,0.00017304206266999245,contracted
2,0.00019925017841160297,0.001244822677691308,,fallback_0061,256.0,dense_like_active,15,6,11328.0,0.0001852081622928381,contracted
2,0.0002282499335706234,-0.0010040348096062046,,fallback_0063,8.0,mixed,14,15,212.0,0.00020916713401675224,contracted
2,0.00029920809902250767,-0.0004087207606474377,,fallback_0069,4096.0,dense_like_active,21,7,176256.0,0.0002132919616997242,contracted
2,0.00010920804925262928,-0.008700270591560795,,fallback_0071,4.0,mixed,6,7,68.0,8.391588926315308e-05,contracted
2,0.0002506251912564039,0.015110155917579401,,fallback_0072,8.0,leaf_local,14,15,212.0,0.00019370811060070992,contracted
2,0.00022787507623434067,7.114508099476599e-06,,fallback_0078,8.0,local_failure,14,15,212.0,0.00018512504175305367,contracted
2,0.000317583791911602,2.6776788204965314e-07,,fallback_0082,4.0,chain_active,15,16,196.0,0.00022929091937839985,contracted
