bond_dim,contract_time_s,contraction_value,error,instance_id,largest_intermediate,mode,n_edges,n_vertices,optimized_flops,path_time_s,status
2,0.00017604208551347256,0.0001418656344569873,,real_lambeq_0000,4.0,real_lambeq_cups_reader_graph_only,6,7,60.0,0.00020529096946120262,contracted
2,0.0002091669011861086,0.0010422927204982763,,real_lambeq_0001,4.0,real_lambeq_cups_reader_graph_only,12,13,132.0,0.00017399992793798447,contracted
2,0.00017283298075199127,-0.006686430724493645,,real_lambeq_0002,4.0,real_lambeq_cups_reader_graph_only,10,11,124.0,0.00014604092575609684,contracted
2,0.00020458386279642582,-7.033484727220165e-06,,real_lambeq_0003,4.0,real_lambeq_cups_reader_graph_only,12,13,132.0,0.0001921248622238636,contracted
2,0.00018520886078476906,-0.0006069486105705443,,real_lambeq_0004,4.0,real_lambeq_cups_reader_graph_only,12,13,132.0,0.00014708400703966618,contracted
2,0.00017112516798079014,-0.0002355962142524428,,real_lambeq_0005,4.0,real_lambeq_cups_reader_graph_only,10,11,124.0,0.00013174978084862232,contracted
2,0.00013812491670250893,0.21317286207437133,,real_lambeq_0006,4.0,real_lambeq_cups_reader_graph_only,8,9,84.0,0.00010833400301635265,contracted
2,0.00018925010226666927,-0.00032851322910293563,,real_lambeq_0007,4.0,real_lambeq_cups_reader_graph_only,12,13,132.0,0.0001449580304324627,contracted
2,0.00016920804046094418,0.00030401249105238353,,real_lambeq_0008,4.0,real_lambeq_cups_reader_graph_only,10,11,124.0,0.00012733298353850842,contracted
2,0.00018566707149147987,-0.064110995982315,,real_lambeq_0009,4.0,real_lambeq_cups_reader_graph_only,10,11,124.0,0.00012295902706682682,contracted
2,0.00016400008462369442,-0.0001376279514725623,,real_lambeq_0010,4.0,real_lambeq_cups_reader_graph_only,10,11,124.0,0.00013224990107119083,contracted
2,0.0001702920999377966,4.518672383575667e-05,,real_lambeq_0011,4.0,real_lambeq_cups_reader_graph_only,8,9,84.0,0.0001638750545680523,contracted
2,0.0001427917741239071,0.0005890844670645972,,real_lambeq_0012,4.0,real_lambeq_cups_reader_graph_only,8,9,84.0,0.000108000123873353,contracted
2,0.00017787492834031582,-0.000446079035193912,,real_lambeq_0013,4.0,real_lambeq_cups_reader_graph_only,10,11,124.0,0.00014175008982419968,contracted
2,0.00017145788297057152,0.0004356166390338071,,real_lambeq_0014,4.0,real_lambeq_cups_reader_graph_only,10,11,124.0,0.00012674997560679913,contracted
2,0.00016758288256824017,-0.17333323223517605,,real_lambeq_0015,4.0,real_lambeq_cups_reader_graph_only,10,11,124.0,0.00012624985538423061,contracted
2,0.00023075006902217865,-6.700577222064455e-05,,real_lambeq_0016,4.0,real_lambeq_cups_reader_graph_only,12,13,132.0,0.00020237499848008156,contracted
2,0.00019774981774389744,9.541312978419107e-05,,real_lambeq_0017,4.0,real_lambeq_cups_reader_graph_only,12,13,132.0,0.0003299999516457319,contracted
2,0.00015783309936523438,0.0048516326647010406,,real_lambeq_0018,4.0,real_lambeq_cups_reader_graph_only,10,11,124.0,0.00012725009582936764,contracted
2,0.00016929092817008495,0.007867521609254417,,real_lambeq_0019,4.0,real_lambeq_cups_reader_graph_only,12,13,132.0,0.0001436250749975443,contracted
2,0.00011591706424951553,-0.0008198029571623212,,real_lambeq_0020,4.0,real_lambeq_cups_reader_graph_only,8,9,84.0,9.537488222122192e-05,contracted
2,0.00014608423225581646,0.030634268161185054,,real_lambeq_0021,4.0,real_lambeq_cups_reader_graph_only,10,11,124.0,0.00011837505735456944,contracted
2,0.00014820904470980167,-1.976237315410226e-05,,real_lambeq_0022,4.0,real_lambeq_cups_reader_graph_only,10,11,124.0,0.00010624993592500687,contracted
2,0.0001451668795198202,-4.150980322546163e-05,,real_lambeq_0023,4.0,real_lambeq_cups_reader_graph_only,10,11,124.0,0.00014583393931388855,contracted
