bag,resources,xi_b,kappa_b,active_children,Gamma_b,log_Gamma_b,instance_id
b0,no,1.0,1.0,-,1.0,0.0,fallback_0000
b1,no,1.0,1.0,-,1.0,0.0,fallback_0000
b2,no,1.0,1.0,-,1.0,0.0,fallback_0000
b3,no,1.0,1.0,-,1.0,0.0,fallback_0000
b4,no,1.0,1.0,-,1.0,0.0,fallback_0000
b5,no,1.0,1.0,-,1.0,0.0,fallback_0000
b6,no,1.0,1.0,-,1.0,0.0,fallback_0000
b7,no,1.0,1.0,-,1.0,0.0,fallback_0000
b8,no,1.0,1.0,-,1.0,0.0,fallback_0000
b9,no,1.0,1.0,-,1.0,0.0,fallback_0000
b10,no,1.0,1.0,-,1.0,0.0,fallback_0000
b11,no,1.0,1.0,-,1.0,0.0,fallback_0000
b12,no,1.0,1.0,-,1.0,0.0,fallback_0000
b13,no,1.0,1.0,-,1.0,0.0,fallback_0000
b14,no,1.0,1.0,-,1.0,0.0,fallback_0000
b15,yes,1.3,1.0,-,1.3,0.26236426446749106,fallback_0000
b16,yes,1.3,1.0,-,1.3,0.26236426446749106,fallback_0000
b17,yes,1.3,1.0,-,1.3,0.26236426446749106,fallback_0000
b18,yes,1.3,1.0,-,1.3,0.26236426446749106,fallback_0000
b19,yes,1.3,1.0,-,1.3,0.26236426446749106,fallback_0000
b20,yes,1.3,1.0,-,1.3,0.26236426446749106,fallback_0000
b21,yes,1.3,1.0,-,1.3,0.26236426446749106,fallback_0000
b22,yes,1.3,1.0,-,1.3,0.26236426446749106,fallback_0000
b23,yes,1.3,1.0,-,1.3,0.26236426446749106,fallback_0000
b24,yes,1.3,1.0,-,1.3,0.26236426446749106,fallback_0000
b25,yes,1.3,1.0,-,1.3,0.26236426446749106,fallback_0000
b26,yes,1.3,1.0,-,1.3,0.26236426446749106,fallback_0000
b27,yes,1.3,1.0,-,1.3,0.26236426446749106,fallback_0000
b28,yes,1.3,1.0,-,1.3,0.26236426446749106,fallback_0000
b29,yes,1.3,1.0,-,1.3,0.26236426446749106,fallback_0000
b30,yes,1.3,1.0,-,1.3,0.26236426446749106,fallback_0000
